Location,Data,Goal,Coordinates,Title,Category,Data category
France,Dendrochronology data,Monitoring forest health,"46.60335, 1.88833",Year-to-year crown condition poorly contributes to ring width variations of beech trees in French ICP level I network,Habitat degradation and biodiversity monitoring,Animal or plant data
Not specified,UAV-based LiDAR data,Segmenting individual mangrove trees,Not specified,Segmentation of individual mangrove trees using UAV-based LiDAR data,Tree species classification,Satellite imagery or LiDAR
Yucatan peninsula,L-band SAR,Improving aboveground biomass maps,"20.68129, -89.08796","Improving aboveground biomass maps of tropical dry forests by integrating LiDAR, ALOS PALSAR, climate and field data",Canopy and biomass estimation,Satellite imagery or LiDAR
Suriname,Satellite imagery,Quantifying mining impact on forest cover,"4.12380, -56.02780",Assessing the impact of gold mining on forest cover in the Surinamese Amazon from 1997 to 2019: A semi-automated satellite-based approach,Forest cover assessment,Satellite imagery
Laos,Remote sensing data,Evaluating habitat suitability for threatened birds,"15.49014, 105.03125",Remote sensing-based landscape indicators for the evaluation of threatened-bird habitats in a tropical forest,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Northern China,Landsat images,Characterising forest spatial pattern evolution,"37.77493, 112.46245",Characterising three decades of evolution of forest spatial pattern in a major coal-energy province in northern China using annual Landsat time series,Forest cover assessment,Satellite imagery or LiDAR
Northwestern Italian Alps,Remote sensing data,Improving forest recovery in degraded ecosystems,"45.87396, 7.22473",Modeling post-fire regeneration patterns under different restoration scenarios to improve forest recovery in degraded ecosystems,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,UAV LiDAR point cloud data and UAV RGB imagery,Estimating diameter at breast height (DBH) of individual trees,Not specified,DBH Estimation for Individual Tree: Two-Dimensional Images or Three-Dimensional Point Clouds?,Tree species classification,Satellite imagery or LiDAR
"Kaunas City, Lithuania",Hyperspectral and colour infrared data,Tree species classification,"54.89805, 23.90353",Ultra-Light Aircraft-Based Hyperspectral and Colour-Infrared Imaging to Identify Deciduous Tree Species in an Urban Environment,Tree species classification,Satellite imagery or LiDAR
France,Satellite images,Estimating aboveground biomass,"44.00000, -0.50000",Estimation and Mapping of Forest Structure Parameters from Open Access Satellite Images: Development of a Generic Method with a Study Case on Coniferous Plantation,Canopy and biomass estimation,Satellite imagery
Eastern USA,Landsat time-series and LiDAR data,Estimating aboveground forest biomass,"39.8283, -98.5795",Evaluating Site-Specific and Generic Spatial Models of Aboveground Forest Biomass Based on Landsat Time-Series and LiDAR Strip Samples in the Eastern USA,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV remote sensing imagery,Accurate identification of forest fires,Not specified,A lightweight algorithm capable of accurately identifying forest fires from UAV remote sensing imagery,Forest fire monitoring and prevention,Drone imagery
South Korea,Multi-satellite remote sensing,Forest fire detection,"35.90776, 127.7669",Synergistic use of multi-satellite remote sensing to detect forest fires: A case study in South Korea,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Airborne LiDAR data,Predicting and mapping aboveground carbon,Not specified,Combined effect of pulse density and grid cell size on predicting and mapping aboveground carbon in fast-growing Eucalyptus forest plantation using airborne LiDAR data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Species classification,Not specified,Individual Tree Crown Delineation for the Species Classification and Assessment of Vital Status of Forest Stands from UAV Images,Tree species classification,Drone imagery
Oregon,LiDAR,Relative habitat suitability modeling,"44.5672, -123.0002",Conservation and relative habitat suitability for an arboreal mammal associated with old forest,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Bangladesh,Sentinel-2 imagery,Quantifying forest cover loss,"21.1757, 92.3286","Rohingya Refugee Crisis and Forest Cover Change in Teknaf, Bangladesh",Forest cover assessment,Satellite imagery or LiDAR
China,Remote sensing data,Land-use/cover-type classification,"36.00000, 118.00000",Analysis of Land-Use/Cover-Type Extraction Results of Tamarix Shrub Forest of China Based on Remote Sensing Technology,Forest cover assessment,Satellite imagery or LiDAR
New Zealand,Multispectral and LiDAR data,Detecting invasive conifers,"-43.5321, 172.6362",Early Detection of Invasive Exotic Trees Using UAV and Manned Aircraft Multispectral and LiDAR Data,Tree species classification,Satellite imagery or LiDAR
Iraq,Distribution data points and environmental factors,Predicting habitat distribution of oak tree species,"35.80746, 44.20000",Predictive mapping of two endemic oak tree species under climate change scenarios in a semiarid region: Range overlap and implications for conservation,Tree species classification,Animal or plant data
Amazon region,Remote sensing data,Assessing drought effects on leaf litterfall and stem growth,"3.46533, -62.21588","Drought effects on leaf fall, leaf flushing and stem growth in the Amazon forest: reconciling remote sensing data and field observations",Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Southern China,High-resolution satellite data,Documenting forest densification and expansion,"23.4162, 109.4623",Reforestation policies around 2000 in southern China led to forest densification and expansion in the 2010s,Forest cover assessment,Satellite imagery or LiDAR
"Maryland, Pennsylvania, Delaware",Lidar data,Mapping forest aboveground biomass,"39.8283, -77.2144","High-resolution mapping of aboveground biomass for forest carbon monitoring system in the Tri-State region of Maryland, Pennsylvania and Delaware, USA",Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,LIDAR and UAV imaging,Monitoring forest restoration,"-15.7835, -39.2114",Forest restoration monitoring through digital processing of high resolution images,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Airborne hyperspectral images,Tree species classification,Not specified,A novel framework combining band selection algorithm and improved 3D prototypical network for tree species classification using airborne hyperspectral images,Tree species classification,Satellite imagery or LiDAR
Not specified,Landsat time series,Forest disturbance mapping,Not specified,A fusion approach to forest disturbance mapping using time series ensemble techniques,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,LiDAR remote sensing data,"Estimating understorey shrub, herb and moss cover",Not specified,"Multi-model estimation of understorey shrub, herb and moss cover in temperate forest stands by laser scanner data",Forest cover assessment,Satellite imagery or LiDAR
Italy,Leaf morphology data,Assessing air quality through particulate matter capture efficiency,"41.87194, 12.56738",Relationships between air particulate matter capture efficiency and leaf traits in twelve tree species from an Italian urban-industrial environment,Tree species classification,Animal or plant data
"Chollipo Arboretum, South Korea",Airborne LiDAR data,Individual tree detection,"33.392719, 126.584750","Detecting Individual Tree Position and Height Using Airborne LiDAR Data in Chollipo Arboretum, South Korea",Canopy and biomass estimation,Satellite imagery or LiDAR
Central India,Landsat Images,Estimating biomass and carbon stocks,"23.4695, 80.3318","Impact of forest fire frequency on tree biomass and carbon stocks in the tropical dry deciduous forest of Panna Tiger Reserve, Central India",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Understanding structure-function relationships in dryland forests,Not specified,Satellite-based assessment of water use and leaf area efficiencies of dryland conifer forests along an aridity gradient,Canopy and biomass estimation,Satellite imagery or LiDAR
Muping District,Remote sensing data,Mapping PWN infestation,"35.865316, 120.443229",Integrating Multi-Scale Remote-Sensing Data to Monitor Severe Forest Infestation in Response to Pine Wilt Disease,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Western Himalaya,Medium spatial resolution multispectral satellite imagery,Mapping hotspots of forest loss,"32.2000, 78.2000",Urban explosion and hotspots of forest loss in western Himalaya: Mapping land use/cover change trends since 1975,Forest cover assessment,Satellite imagery or LiDAR
"Gaofeng Forest Farm, Guangxi, China",Hyperspectral and LiDAR data,Tree species classification,"23.45121, 108.49093",Analyzing the role of spatial features when cooperating hyperspectral and LiDAR data for the tree species classification in a subtropical plantation forest area,Tree species classification,Satellite imagery or LiDAR
"Urbana, IL, USA",Multi-scale satellite imagery,Characterizing community-level spring forest phenology,"40.11059, -88.20727",A satellite-field phenological bridging framework for characterizing community-level spring forest phenology using multi-scale satellite imagery,Canopy and biomass estimation,Satellite imagery or LiDAR
"Fuzhou City, China",Airborne LiDAR,Tree species classification,"26.03565, 119.29616",Tree Species Classification Based on PointNet plus plus and Airborne Laser Survey Point Cloud Data Enhancement,Tree species classification,Satellite imagery or LiDAR
Mexico,Remote sensing data,Estimating aboveground biomass,"23.6345, -102.5528","Estimation of forest aboveground biomass and uncertainties by integration of field measurements, airborne LiDAR, and SAR and optical satellite data in Mexico",Canopy and biomass estimation,Satellite imagery or LiDAR
Tibet,Landsat data,Examining dynamic changes in landscape patterns of planted forests,"29.6000, 91.2000",Artificial afforestation increased the distribution area and landscape complexity of planted forests in Tibet over the past 30 years,Forest cover assessment,Satellite imagery or LiDAR
