Location,Data,Goal,Coordinates,Title,Category
"Arizona, USA",Remote sensing data,Evaluating burn severity,"33.448376, -112.074036","Evaluating and monitoring forest fuel treatments using remote sensing applications in Arizona, USA",Forest fire monitoring and prevention
Yangtze River Delta,Not specified,Investigating particulate matter retention capacity,"30.9756, 120.9551",Atmospheric particulate matter retention capacity of bark and leaves of urban tree species,Other
"Shipov Forest, Voronezh Region",Dendroclimatic analysis data,Predicting further genesis of forests,"50.62049, 39.20709",Effect of Type of Forest Growth Conditions and Climate Elements on the Dynamics of Radial Growth in English Oak (Quercus robur L.) of Early and Late Phenological Forms,Tree species classification
China,Survey data,Investigating natural regeneration of woody plants,"28.1289, 112.9844","Regeneration characteristics and influencing factors of woody plant on natural evergreen secondary broad-leaved forests in the subtropical, China",Habitat degradation and biodiversity monitoring
Brazil,GIS data,Assessing landscape connectivity,"-20.15143, -42.58333",Prioritizing landscape connectivity of a tropical forest biodiversity hotspot in global change scenario,Habitat degradation and biodiversity monitoring
Yosemite National Park,Remote sensing data,Estimating biomass,"37.8651, -119.5383",Fire and the Distribution and Uncertainty of Carbon Sequestered as Aboveground Tree Biomass in Yosemite and Sequoia & Kings Canyon National Parks,Canopy and biomass estimation
Loess Plateau,Tree ring samples,Characterizing tree-ring growth responses to drought,"35.43576, 104.16228",Dynamic responses of tree-ring growth to drought over Loess Plateau in the past three decades,Tree species classification
Not specified,Not specified,Evaluating agronomic behavior and fruit quality of fig tree cultivars,"39.66667, -6.08333",Agronomic evaluation and fruit quality of fig tree cultivar collection in the Jerte Valley (Spain),Tree species classification
Global,Not specified,Assessing biomass and species richness contributions of large-diameter trees,"0, 0",Global importance of large-diameter trees,Canopy and biomass estimation
"Bangka Island, Indonesia",Genetic and morphological data,Studying distribution and genetic diversity of pelawan trees,"-2.40169, 106.11377","Population, morphological, and genetic characteristics of pelawan trees on Bangka Island, Indonesia: implications for conservation",Tree species classification
Northeast China,Remote sensing data,Investigating the impacts of extreme droughts on forest resilience,"43.0000, 120.0000",Resilience and response: Unveiling the impacts of extreme droughts on forests through integrated dendrochronological and remote sensing analyses,Habitat degradation and biodiversity monitoring
"Mata das Flores State Park, Brazil",Not specified,Assessing the effects of drought on species abundance and functional structure,"-22.2468, -43.6639",Post-drought community turnover and functional redundancy in a tropical forest understorey,Habitat degradation and biodiversity monitoring
"Changbai Mountain, Northeast China",Not specified,Investigating the role of nonstructural carbohydrates in maintaining hydraulic integrity in trees,"41.40157, 128.29968",The interaction between nonstructural carbohydrate reserves and xylem hydraulics in Korean pine trees across an altitudinal gradient,Tree species classification
Białowieża Forest,Acoustic monitoring data,Estimating bird species richness,"52.70145, 23.85392",Acoustic indices estimate breeding bird species richness with daily and seasonally variable effectiveness in lowland temperate Bia?owie?za forest,Habitat degradation and biodiversity monitoring
Brazil,Optical microscopy data,Evaluating leaf traits variation,"-3.46533, -62.21588",Functional leaf traits in congeneric species of tree communities in central Amazon,Tree species classification
Not specified,Not specified,Investigating spring phenology and frost sensitivity in temperate trees,Not specified,Contrast in vulnerability to freezing-induced xylem embolism contributes to divergence in spring phenology between diffuse- and ring-porous temperate trees,Tree species classification
Not specified,Not specified,Investigating fungi interactions in wood decomposition,Not specified,The relationship between tree species and wood colonising fungi and fungal interactions influences wood degradation,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Documenting distribution of exotic earthworms,"60.57232, -149.54842",Distribution and abundance of exotic earthworms within a boreal forest system in southcentral Alaska,Habitat degradation and biodiversity monitoring
"Arunachal Pradesh, India",Not specified,Monitoring species diversity,"28.4182, 94.7278","Community structure and species diversity of Pinus merkusii Jungh. & de Vriese forest along an altitudinal gradient in Eastern Himalaya, Arunachal Pradesh, India",Habitat degradation and biodiversity monitoring
"Grand Canyon National Park, USA",Permanent sample plots,Monitoring understory plant diversity and community structure,"36.1069, -112.1129","Long-term plant community responses to resource objective wildfires in montane coniferous forests of Grand Canyon National Park, USA",Habitat degradation and biodiversity monitoring
Western United States,Satellite-based observations of solar-induced fluorescence,Detecting interannual variation in gross primary production,"37.77493, -119.41942",Solar-Induced Fluorescence Detects Interannual Variation in Gross Primary Production of Coniferous Forests in the Western United States,Canopy and biomass estimation
Eastern China,Not specified,Linking leaf anatomical traits to ecosystem functions,"29.20096, 119.22065",Variation in leaf anatomical traits from tropical to cold-temperate forests and linkage to ecosystem functions,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Understanding changes in bacterial diversity due to warming,"60.0000, 105.0000",Short-Term Simulated Warming Changes the Beta Diversity of Bacteria in Taiga Forests' Permafrost by Altering the Composition of Dominant Bacterial Phyla,Habitat degradation and biodiversity monitoring
Cameroon,Not specified,Conservation and sustainable management practices,"3.84800, 11.50208",Ethnicity Differences in Uses and Management Practices of Bitter Kola Trees (Garcinia kola) in Cameroon,Tree species classification
Russia,Not specified,Predicting wood density variations,"56.50000, 105.00000","A Non-Destructive Prediction Method for Wood Density Variations of Silver Birch Trees Growing in the Middle Volga Region, Russia",Tree species classification
Brazil,Field data,Monitoring woody species regeneration,"-23.55052, -46.63331",Forest restoration after severe degradation by coal mining: lessons from the first years of monitoring,Habitat degradation and biodiversity monitoring
Not specified,Not specified,Monitoring biodiversity and habitat quality,Not specified,"Unexpected temporal stability of Cystoseira and Sargassum forests in Port-Cros, one of the oldest Mediterranean marine National Parks",Habitat degradation and biodiversity monitoring
Southeastern China,Charcoal and pollen analyses,Examining fire history and relationship with climatic and anthropogenic changes,"25.00000, 115.00000",Holocene fire and forest histories in relation to climate change and agriculture development in southeastern China,Forest fire monitoring and prevention
Not specified,Not specified,Understanding vertebrate scavenger guild composition and behavior,"35.6895, 139.6917",Vertebrate scavenger guild composition and utilization of carrion in an East Asian temperate forest,Habitat degradation and biodiversity monitoring
Northeast China,Not specified,Investigating xylem traits related to tree species distribution limits,"41.59761, 128.42680",Variation in Stem Xylem Traits is Related to Differentiation of Upper Limits of Tree Species along an Elevational Gradient,Tree species classification
Not specified,Not specified,Understanding the influence of nitrogen sources on wood formation in hybrid aspen trees,Not specified,The effect of nitrogen source and levels on hybrid aspen tree physiology and wood formation,Tree species classification
Nigeria,Chloroplast microsatellites,Assessing genetic diversity in montane forest tree species,"9.0820, 8.6753","Interspecific comparisons with chloroplast SSR loci reveal limited genetic variation in Nigerian montane forests: A study on Cordia millenii (West African Cordia), Entandrophragma angolense (tiama mahogany), and Lovoa trichilioides (African walnut).",Tree species classification
